ASMID	Match	SE	A3SS	A5SS	MXE	SEFDR5	A3SSFDR5	A5SSFDR5	MXEFDR5	Pmin
ASM#0	NA	0	0	0	0	0	0	0	0	NA
ASM#1	A3SS_765_5.80E-2,A5SS_524_1.37E-1	0	1	1	0	0	0	0	0	0.058
ASM#2	A5SS_1767_5.51E-1	0	0	1	0	0	0	0	0	0.551
ASM#3	SE_24342_8.54E-2	1	0	0	0	0	0	0	0	0.0854
ASM#4	NA	0	0	0	0	0	0	0	0	NA
ASM#5	SE_14849_1.67E-2	1	0	0	0	0	0	0	0	0.0167
ASM#6	SE_36907_1.00E+0	1	0	0	0	0	0	0	0	1.0
ASM#7	NA	0	0	0	0	0	0	0	0	NA
ASM#8	A5SS_3865_1.00E+0	0	0	1	0	0	0	0	0	1.0
ASM#9	NA	0	0	0	0	0	0	0	0	NA
ASM#10	A3SS_4523_3.99E-1,A3SS_4522_1.93E-1,A3SS_4524_1.00E+0	0	3	0	0	0	0	0	0	0.193
ASM#11	NA	0	0	0	0	0	0	0	0	NA
ASM#12	A5SS_3644_2.46E-3,SE_27997_5.99E-1,SE_27993_2.91E-6,A5SS_3642_2.25E-1,SE_27994_3.55E-15,SE_28000_1.00E+0,SE_27996_1.44E-1,A5SS_3641_3.11E-4,SE_27998_1.86E-3,SE_27999_2.07E-1,SE_27992_1.00E+0,A5SS_3643_2.10E-1,MXE_1710_1.94E-3,SE_27995_1.00E+0	9	0	4	1	2	0	1	0	3.55e-15
ASM#13	NA	0	0	0	0	0	0	0	0	NA
ASM#14	SE_7155_6.85E-1	1	0	0	0	0	0	0	0	0.685
ASM#15	SE_6826_3.20E-2,SE_6824_2.81E-4,SE_6825_3.80E-2	3	0	0	0	0	0	0	0	0.000281
ASM#16	A3SS_3215_8.04E-2,SE_16077_1.00E+0	1	1	0	0	0	0	0	0	0.0804
ASM#17	SE_21587_1.00E+0	1	0	0	0	0	0	0	0	1.0
ASM#18	A5SS_822_1.46E-5	0	0	1	0	0	0	1	0	1.46e-05
ASM#19	A3SS_72_9.46E-1	0	1	0	0	0	0	0	0	0.946
ASM#20	NA	0	0	0	0	0	0	0	0	NA
ASM#21	MXE_729_3.53E-4,SE_12417_1.34E-3,A5SS_1640_2.66E-1,SE_12419_1.86E-1,A3SS_2446_2.42E-1,SE_12415_3.09E-3,A3SS_2447_1.43E-1,SE_12418_1.53E-1,SE_12416_7.77E-2,SE_12414_7.47E-1,SE_12412_1.67E-2,SE_12413_3.69E-6	8	2	1	1	1	0	0	0	3.69e-06
ASM#22	NA	0	0	0	0	0	0	0	0	NA
ASM#23	NA	0	0	0	0	0	0	0	0	NA
ASM#24	NA	0	0	0	0	0	0	0	0	NA
ASM#25	NA	0	0	0	0	0	0	0	0	NA
ASM#26	SE_14529_7.06E-1,SE_14530_2.37E-1	2	0	0	0	0	0	0	0	0.237
ASM#27	SE_26618_4.95E-2	1	0	0	0	0	0	0	0	0.0495
ASM#28	NA	0	0	0	0	0	0	0	0	NA
ASM#29	SE_8370_2.14E-3	1	0	0	0	0	0	0	0	0.00214
ASM#30	NA	0	0	0	0	0	0	0	0	NA
ASM#31	NA	0	0	0	0	0	0	0	0	NA
ASM#32	SE_4679_1.06E-2	1	0	0	0	0	0	0	0	0.0106
ASM#33	SE_4967_1.39E-4,A5SS_650_1.00E+0,SE_4968_1.45E-2,SE_4966_3.04E-11,SE_4965_4.30E-1	4	0	1	0	1	0	0	0	3.04e-11
ASM#34	SE_2428_1.00E+0	1	0	0	0	0	0	0	0	1.0
ASM#35	NA	0	0	0	0	0	0	0	0	NA
ASM#36	NA	0	0	0	0	0	0	0	0	NA
ASM#37	NA	0	0	0	0	0	0	0	0	NA
ASM#38	A3SS_6527_2.46E-1,SE_32470_4.99E-1	1	1	0	0	0	0	0	0	0.246
ASM#39	A3SS_7623_6.80E-1,SE_37668_8.17E-3,SE_37667_3.49E-3	2	1	0	0	0	0	0	0	0.00349
ASM#40	A5SS_2052_4.79E-1,SE_15700_1.77E-1,A3SS_3139_7.23E-4	1	1	1	0	0	0	0	0	0.000723
ASM#41	SE_29388_5.41E-1	1	0	0	0	0	0	0	0	0.541
ASM#42	NA	0	0	0	0	0	0	0	0	NA
ASM#43	NA	0	0	0	0	0	0	0	0	NA
ASM#44	SE_12268_3.47E-2,MXE_724_8.92E-1,MXE_725_5.65E-2,SE_12266_2.04E-1,SE_12269_9.67E-1	3	0	0	2	0	0	0	0	0.0347
ASM#45	SE_18781_1.08E-2,SE_18780_6.84E-1	2	0	0	0	0	0	0	0	0.0108
ASM#46	NA	0	0	0	0	0	0	0	0	NA
ASM#47	NA	0	0	0	0	0	0	0	0	NA
ASM#48	NA	0	0	0	0	0	0	0	0	NA
ASM#49	SE_32417_1.00E+0	1	0	0	0	0	0	0	0	1.0
ASM#50	NA	0	0	0	0	0	0	0	0	NA
ASM#51	SE_5087_5.73E-1	1	0	0	0	0	0	0	0	0.573
ASM#52	SE_30109_4.52E-1	1	0	0	0	0	0	0	0	0.452
ASM#53	NA	0	0	0	0	0	0	0	0	NA
ASM#54	A3SS_7496_3.98E-1,SE_37079_8.53E-1,SE_37080_7.55E-1	2	1	0	0	0	0	0	0	0.398
ASM#55	SE_23615_8.85E-1,SE_23616_9.30E-1,SE_23617_3.12E-1,SE_23618_3.85E-1	4	0	0	0	0	0	0	0	0.312
ASM#56	NA	0	0	0	0	0	0	0	0	NA
ASM#57	A3SS_5244_3.63E-3	0	1	0	0	0	0	0	0	0.00363
ASM#58	SE_26751_1.00E+0,SE_26752_7.00E-2	2	0	0	0	0	0	0	0	0.07
ASM#59	NA	0	0	0	0	0	0	0	0	NA
ASM#60	SE_18599_1.00E+0,SE_18598_1.00E+0,A3SS_3732_1.00E+0	2	1	0	0	0	0	0	0	1.0
ASM#61	NA	0	0	0	0	0	0	0	0	NA
ASM#62	NA	0	0	0	0	0	0	0	0	NA
ASM#63	A3SS_4361_3.46E-1	0	1	0	0	0	0	0	0	0.346
ASM#64	NA	0	0	0	0	0	0	0	0	NA
ASM#65	NA	0	0	0	0	0	0	0	0	NA
ASM#66	SE_21569_8.16E-1	1	0	0	0	0	0	0	0	0.816
ASM#67	NA	0	0	0	0	0	0	0	0	NA
ASM#68	NA	0	0	0	0	0	0	0	0	NA
ASM#69	A3SS_3716_8.56E-1,SE_18511_1.00E+0,SE_18512_1.66E-2,A3SS_3717_9.40E-1	2	2	0	0	0	0	0	0	0.0166
ASM#70	NA	0	0	0	0	0	0	0	0	NA
ASM#71	NA	0	0	0	0	0	0	0	0	NA
ASM#72	SE_14036_3.43E-3,A3SS_2787_6.26E-6,A3SS_2786_1.00E+0,A5SS_1853_1.00E+0	1	2	1	0	0	1	0	0	6.26e-06
ASM#73	A5SS_470_2.07E-4,SE_3534_7.17E-1,SE_3535_9.04E-1	2	0	1	0	0	0	1	0	0.000207
ASM#74	A3SS_2500_1.00E+0,SE_12650_4.77E-1,SE_12649_4.38E-1	2	1	0	0	0	0	0	0	0.438
ASM#75	NA	0	0	0	0	0	0	0	0	NA
ASM#76	NA	0	0	0	0	0	0	0	0	NA
ASM#77	SE_4265_6.48E-1,SE_4266_1.11E-1,SE_4262_9.41E-2	3	0	0	0	0	0	0	0	0.0941
ASM#78	NA	0	0	0	0	0	0	0	0	NA
ASM#79	SE_10692_2.86E-2	1	0	0	0	0	0	0	0	0.0286
ASM#80	NA	0	0	0	0	0	0	0	0	NA
ASM#81	NA	0	0	0	0	0	0	0	0	NA
ASM#82	SE_35238_1.50E-1,SE_35239_1.00E+0	2	0	0	0	0	0	0	0	0.15
ASM#83	A3SS_3853_1.12E-3,A3SS_3852_3.76E-2	0	2	0	0	0	0	0	0	0.00112
ASM#84	SE_31790_2.60E-6,A5SS_4094_1.00E+0,SE_31791_1.00E+0	2	0	1	0	1	0	0	0	2.6e-06
ASM#85	NA	0	0	0	0	0	0	0	0	NA
ASM#86	SE_20641_1.17E-1	1	0	0	0	0	0	0	0	0.117
ASM#87	NA	0	0	0	0	0	0	0	0	NA
ASM#88	NA	0	0	0	0	0	0	0	0	NA
ASM#89	SE_13755_9.15E-1	1	0	0	0	0	0	0	0	0.915
ASM#90	A5SS_3740_9.87E-1,SE_28837_3.77E-1	1	0	1	0	0	0	0	0	0.377
ASM#91	SE_28363_1.32E-1	1	0	0	0	0	0	0	0	0.132
ASM#92	SE_6100_8.63E-1,A3SS_1172_8.26E-1	1	1	0	0	0	0	0	0	0.826
ASM#93	SE_4708_3.26E-1	1	0	0	0	0	0	0	0	0.326
ASM#94	SE_4708_3.26E-1	1	0	0	0	0	0	0	0	0.326
ASM#95	SE_32541_5.30E-1	1	0	0	0	0	0	0	0	0.53
ASM#96	NA	0	0	0	0	0	0	0	0	NA
ASM#97	SE_25320_7.58E-2,SE_25321_4.69E-1	2	0	0	0	0	0	0	0	0.0758
ASM#98	NA	0	0	0	0	0	0	0	0	NA
ASM#99	MXE_1510_2.42E-3,SE_24668_1.00E+0,SE_24667_1.00E+0	2	0	0	1	0	0	0	0	0.00242
