ASMID	Match	SE	A3SS	A5SS	MXE	SEFDR5	A3SSFDR5	A5SSFDR5	MXEFDR5	Pmin
ASM#0	NA	0	0	0	0	0	0	0	0	1
ASM#1	MJ_intronretentionleft-Junction_98221_4.83E-2,MJ_5_Junction_98072_Junction_98073_4.97E-2,MJ_intronretentionright-Junction_98221_9.30E-2,MJ_3_Junction_98160_Junction_98161_1.83E-1,MJ_3_Junction_98160_Junction_98161_2.17E-1,MJ_5_Junction_98072_Junction_98073_3.69E-2	6	0	0	0	0	0	0	0	0.0369
ASM#2	MJ_3_Junction_98433_Junction_98434_3.83E-1,MJ_intronretentionleft-Junction_98402_4.35E-2,MJ_intronretentionright-Junction_98402_3.87E-2,MJ_5_Junction_98410_Junction_98411_8.75E-2,MJ_5_Junction_98410_Junction_98411_1.03E-1,MJ_3_Junction_98433_Junction_98434_3.40E-1	6	0	0	0	0	0	0	0	0.0387
ASM#3	NA	0	0	0	0	0	0	0	0	1
ASM#4	NA	0	0	0	0	0	0	0	0	1
ASM#5	MJ_5_Junction_103461_Junction_103462_1.14E-1,MJ_3_Junction_103462_Junction_103473_1.09E-1,MJ_intronretentionleft-Junction_103462_2.03E-1,MJ_3_Junction_103462_Junction_103473_1.56E-1,MJ_5_Junction_103461_Junction_103462_1.61E-1,MJ_intronretentionright-Junction_103462_1.85E-1	6	0	0	0	0	0	0	0	0.109
ASM#6	NA	0	0	0	0	0	0	0	0	1
ASM#7	MJ_5_Junction_111977_Junction_111978_1.11E-1,MJ_3_Junction_111821_Junction_111837_7.63E-2,MJ_3_Junction_111900_Junction_111978_6.59E-2,MJ_3_Junction_111821_Junction_111837_7.97E-2,MJ_5_Junction_111977_Junction_111978_1.00E-1,MJ_3_Junction_111900_Junction_111978_6.13E-2	6	0	0	0	0	0	0	0	0.0613
ASM#8	NA	0	0	0	0	0	0	0	0	1
ASM#9	NA	0	0	0	0	0	0	0	0	1
ASM#10	MJ_3_Junction_13247_Junction_13250_5.09E-2,MJ_3_Junction_13247_Junction_13250_5.68E-2,MJ_3_Junction_13261_Junction_13263_Junction_13273_3.51E-2,MJ_3_Junction_13261_Junction_13263_Junction_13273_2.00E-2,MJ_3_Junction_13261_Junction_13263_Junction_13273_1.73E-2	5	0	0	0	0	0	0	0	0.0173
ASM#11	NA	0	0	0	0	0	0	0	0	1
ASM#12	MJ_5_Junction_14053_Junction_14054_Junction_14055_4.99E-2,MJ_3_Junction_14008_Junction_14042_6.02E-2,MJ_5_Junction_14006_Junction_14007_Junction_14008_2.95E-1,MJ_5_Junction_14053_Junction_14054_Junction_14055_3.94E-2,MJ_5_Junction_14158_Junction_14159_Junction_14161_5.17E-2,MJ_5_Junction_14158_Junction_14159_Junction_14161_1.49E-1,MJ_5_Junction_14053_Junction_14054_Junction_14055_6.08E-2,MJ_3_Junction_14055_Junction_14118_9.81E-2,MJ_intronretentionright-Junction_14159_8.12E-2,MJ_intronretentionleft-Junction_14161_8.68E-1,MJ_5_Junction_14006_Junction_14007_Junction_14008_7.66E-2,MJ_intronretentionright-Junction_14161_1.12E-1,MJ_intronretentionleft-Junction_14159_3.23E-1,MJ_5_Junction_14158_Junction_14159_Junction_14161_6.25E-2,MJ_5_Junction_14006_Junction_14007_Junction_14008_2.14E-1,MJ_3_Junction_14008_Junction_14042_8.24E-2,MJ_3_Junction_14055_Junction_14118_5.87E-2	17	0	0	0	0	0	0	0	0.0394
ASM#13	NA	0	0	0	0	0	0	0	0	1
ASM#14	MJ_5_Junction_14348_Junction_14349_1.69E-1,MJ_3_Junction_14349_Junction_14350_1.11E-1,MJ_3_Junction_14349_Junction_14350_9.76E-2,MJ_5_Junction_14348_Junction_14349_1.99E-1	4	0	0	0	0	0	0	0	0.0976
ASM#15	MJ_5_Junction_14428_Junction_14429_2.34E-2,MJ_5_Junction_14428_Junction_14429_2.59E-2,MJ_intronretentionright-Junction_14472_2.57E-1,MJ_3_Junction_14471_Junction_14512_Junction_14513_8.85E-2,MJ_3_Junction_14398_Junction_14399_6.77E-2,MJ_5_Junction_14469_Junction_14470_Junction_14471_Junction_14472_3.72E-2,MJ_3_Junction_14471_Junction_14512_Junction_14513_1.14E-1,MJ_5_Junction_14469_Junction_14470_Junction_14471_Junction_14472_7.69E-2,MJ_intronretentionright-Junction_14437_6.40E-2,MJ_5_Junction_14397_Junction_14398_8.06E-2,MJ_intronretentionright-Junction_14439_4.81E-2,MJ_intronretentionleft-Junction_14463_6.05E-2,MJ_intronretentionleft-Junction_14439_1.55E-1,MJ_5_Junction_14469_Junction_14470_Junction_14471_Junction_14472_9.01E-2,MJ_intronretentionright-Junction_14463_9.96E-2,MJ_5_Junction_14469_Junction_14470_Junction_14471_Junction_14472_8.89E-2,MJ_3_Junction_14398_Junction_14399_8.58E-2,MJ_5_Junction_14397_Junction_14398_1.00E-1,MJ_intronretentionleft-Junction_14437_4.41E-2,MJ_intronretentionleft-Junction_14472_1.85E-1,MJ_3_Junction_14471_Junction_14512_Junction_14513_1.86E-1	21	0	0	0	0	0	0	0	0.0234
ASM#16	MJ_intronretentionleft-Junction_14528_2.01E-1,MJ_intronretentionright-Junction_14528_1.59E-1,MJ_intronretentionright-Junction_14532_1.81E-1,MJ_intronretentionleft-Junction_14532_7.56E-2,MJ_3_Junction_14521_Junction_14524_1.13E-1,MJ_5_Junction_14520_Junction_14521_8.23E-2,MJ_5_Junction_14531_Junction_14532_8.27E-2,MJ_5_Junction_14531_Junction_14532_1.00E-1,MJ_intronretentionright-Junction_14520_5.08E-2,MJ_5_Junction_14520_Junction_14521_1.12E-1,MJ_intronretentionleft-Junction_14520_5.42E-1,MJ_3_Junction_14521_Junction_14524_8.39E-2	12	0	0	0	0	0	0	0	0.0508
ASM#17	MJ_3_Junction_14596_Junction_14599_9.42E-2,MJ_3_Junction_14596_Junction_14599_6.11E-2	2	0	0	0	0	0	0	0	0.0611
ASM#18	MJ_intronretentionleft-Junction_14683_6.12E-2,MJ_5_Junction_14644_Junction_14645_1.92E-2,MJ_intronretentionright-Junction_14683_4.87E-2,MJ_5_Junction_14644_Junction_14645_2.01E-2,MJ_intronretentionright-Junction_14645_2.02E-2,MJ_intronretentionleft-Junction_14645_8.50E-2	6	0	0	0	0	0	0	0	0.0192
