ASMID	Match	SE	A3SS	A5SS	MXE	SEFDR5	A3SSFDR5	A5SSFDR5	MXEFDR5	Pmin
ASM#0	NA	0	0	0	0	0	0	0	0	NA
ASM#1	SE_clu_771_NA_8.23E-1,SE_clu_770_NA_3.76E-1	2	0	0	0	0	0	0	0	0.376
ASM#2	SE_clu_772_NA_3.08E-2	1	0	0	0	0	0	0	0	0.0308
ASM#3	NA	0	0	0	0	0	0	0	0	NA
ASM#4	NA	0	0	0	0	0	0	0	0	NA
ASM#5	NA	0	0	0	0	0	0	0	0	NA
ASM#6	NA	0	0	0	0	0	0	0	0	NA
ASM#7	SE_clu_774_NA_2.59E-2,SE_clu_775_NA_1.03E-3	2	0	0	0	0	0	0	0	0.00103
ASM#8	NA	0	0	0	0	0	0	0	0	NA
ASM#9	NA	0	0	0	0	0	0	0	0	NA
ASM#10	SE_clu_777_NA_1.62E-1,SE_clu_778_NA_1.06E-1	2	0	0	0	0	0	0	0	0.106
ASM#11	NA	0	0	0	0	0	0	0	0	NA
ASM#12	SE_clu_779_NA_1.04E-3,SE_clu_780_NA_4.25E-1,SE_clu_781_NA_1.47E-3	3	0	0	0	0	0	0	0	0.00104
ASM#13	NA	0	0	0	0	0	0	0	0	NA
ASM#14	NA	0	0	0	0	0	0	0	0	NA
ASM#15	SE_clu_783_NA_9.68E-1,SE_clu_782_NA_2.40E-2,SE_clu_784_NA_3.03E-1	3	0	0	0	0	0	0	0	0.024
ASM#16	SE_clu_785_NA_2.25E-1	1	0	0	0	0	0	0	0	0.225
ASM#17	NA	0	0	0	0	0	0	0	0	NA
ASM#18	SE_clu_789_NA_4.93E-3	1	0	0	0	0	0	0	0	0.00493
ASM#19	SE_clu_791_NA_6.93E-1,SE_clu_790_NA_5.76E-1	2	0	0	0	0	0	0	0	0.576
ASM#20	SE_clu_792_NA_4.84E-1	1	0	0	0	0	0	0	0	0.484
ASM#21	SE_clu_793_NA_9.64E-1,SE_clu_794_NA_2.63E-1	2	0	0	0	0	0	0	0	0.263
ASM#22	NA	0	0	0	0	0	0	0	0	NA
ASM#23	SE_clu_795_NA_9.21E-1	1	0	0	0	0	0	0	0	0.921
ASM#24	NA	0	0	0	0	0	0	0	0	NA
ASM#25	NA	0	0	0	0	0	0	0	0	NA
ASM#26	NA	0	0	0	0	0	0	0	0	NA
ASM#27	NA	0	0	0	0	0	0	0	0	NA
ASM#28	NA	0	0	0	0	0	0	0	0	NA
ASM#29	SE_clu_803_NA_8.35E-3	1	0	0	0	0	0	0	0	0.00835
ASM#30	NA	0	0	0	0	0	0	0	0	NA
ASM#31	NA	0	0	0	0	0	0	0	0	NA
ASM#32	NA	0	0	0	0	0	0	0	0	NA
ASM#33	SE_clu_809_NA_6.28E-1,SE_clu_808_NA_4.01E-1,SE_clu_810_NA_5.42E-1	3	0	0	0	0	0	0	0	0.401
ASM#34	SE_clu_812_NA_7.97E-3,SE_clu_813_NA_3.46E-1,SE_clu_811_NA_8.24E-1	3	0	0	0	0	0	0	0	0.00797
ASM#35	NA	0	0	0	0	0	0	0	0	NA
ASM#36	NA	0	0	0	0	0	0	0	0	NA
ASM#37	SE_clu_817_NA_5.43E-1	1	0	0	0	0	0	0	0	0.543
ASM#38	NA	0	0	0	0	0	0	0	0	NA
ASM#39	SE_clu_820_NA_1.40E-2,SE_clu_821_NA_2.68E-1,SE_clu_819_NA_6.49E-2	3	0	0	0	0	0	0	0	0.014
ASM#40	SE_clu_823_NA_6.91E-3,SE_clu_822_NA_1.86E-2	2	0	0	0	0	0	0	0	0.00691
ASM#41	NA	0	0	0	0	0	0	0	0	NA
ASM#42	SE_clu_827_NA_7.86E-2	1	0	0	0	0	0	0	0	0.0786
ASM#43	NA	0	0	0	0	0	0	0	0	NA
ASM#44	SE_clu_828_NA_3.02E-1,SE_clu_830_NA_2.87E-5,SE_clu_829_NA_3.23E-2	3	0	0	0	0	0	0	0	2.87e-05
ASM#45	NA	0	0	0	0	0	0	0	0	NA
ASM#46	NA	0	0	0	0	0	0	0	0	NA
ASM#47	NA	0	0	0	0	0	0	0	0	NA
ASM#48	NA	0	0	0	0	0	0	0	0	NA
ASM#49	NA	0	0	0	0	0	0	0	0	NA
ASM#50	NA	0	0	0	0	0	0	0	0	NA
ASM#51	NA	0	0	0	0	0	0	0	0	NA
ASM#52	NA	0	0	0	0	0	0	0	0	NA
ASM#53	NA	0	0	0	0	0	0	0	0	NA
ASM#54	NA	0	0	0	0	0	0	0	0	NA
ASM#55	SE_clu_834_NA_8.19E-1	1	0	0	0	0	0	0	0	0.819
ASM#56	NA	0	0	0	0	0	0	0	0	NA
ASM#57	SE_clu_839_NA_1.09E-2,SE_clu_836_NA_3.19E-1,SE_clu_838_NA_2.96E-2,SE_clu_837_NA_4.17E-1	4	0	0	0	0	0	0	0	0.0109
ASM#58	SE_clu_840_NA_1.75E-2	1	0	0	0	0	0	0	0	0.0175
ASM#59	NA	0	0	0	0	0	0	0	0	NA
ASM#60	SE_clu_841_NA_7.94E-3,SE_clu_842_NA_2.79E-4	2	0	0	0	0	0	0	0	0.000279
ASM#61	SE_clu_843_NA_5.15E-1	1	0	0	0	0	0	0	0	0.515
ASM#62	NA	0	0	0	0	0	0	0	0	NA
ASM#63	SE_clu_845_NA_7.72E-1	1	0	0	0	0	0	0	0	0.772
ASM#64	SE_clu_846_NA_3.98E-5	1	0	0	0	0	0	0	0	3.98e-05
ASM#65	NA	0	0	0	0	0	0	0	0	NA
ASM#66	SE_clu_849_NA_6.82E-1,SE_clu_848_NA_4.26E-1	2	0	0	0	0	0	0	0	0.426
ASM#67	NA	0	0	0	0	0	0	0	0	NA
ASM#68	SE_clu_850_NA_3.78E-1	1	0	0	0	0	0	0	0	0.378
ASM#69	NA	0	0	0	0	0	0	0	0	NA
ASM#70	NA	0	0	0	0	0	0	0	0	NA
ASM#71	SE_clu_855_NA_1.73E-1	1	0	0	0	0	0	0	0	0.173
ASM#72	NA	0	0	0	0	0	0	0	0	NA
ASM#73	SE_clu_857_NA_7.37E-1,SE_clu_856_NA_6.09E-4,SE_clu_858_NA_1.06E-2	3	0	0	0	0	0	0	0	0.000609
ASM#74	SE_clu_859_NA_4.77E-1	1	0	0	0	0	0	0	0	0.477
ASM#75	NA	0	0	0	0	0	0	0	0	NA
ASM#76	NA	0	0	0	0	0	0	0	0	NA
ASM#77	SE_clu_860_NA_8.93E-2,SE_clu_861_NA_9.35E-1	2	0	0	0	0	0	0	0	0.0893
ASM#78	NA	0	0	0	0	0	0	0	0	NA
ASM#79	NA	0	0	0	0	0	0	0	0	NA
ASM#80	NA	0	0	0	0	0	0	0	0	NA
ASM#81	NA	0	0	0	0	0	0	0	0	NA
ASM#82	NA	0	0	0	0	0	0	0	0	NA
ASM#83	NA	0	0	0	0	0	0	0	0	NA
ASM#84	SE_clu_864_NA_3.57E-4	1	0	0	0	0	0	0	0	0.000357
ASM#85	NA	0	0	0	0	0	0	0	0	NA
ASM#86	SE_clu_865_NA_3.15E-4	1	0	0	0	0	0	0	0	0.000315
ASM#87	SE_clu_866_NA_4.57E-1	1	0	0	0	0	0	0	0	0.457
ASM#88	NA	0	0	0	0	0	0	0	0	NA
ASM#89	NA	0	0	0	0	0	0	0	0	NA
