ID	FluxPsiDiff	NumIsoform	Type	FluxPsiG1	FluxPsiG2
ASM#0	0.010520816886606669	15	NA	0.9387242876526667	0.9334573438876667
ASM#1	0.026761716760000026	37	NA	0.38329749103933336	0.3630529536526666
ASM#2	NA	2	SE	NA	NA
ASM#3	0.07204581437310001	2	NA	0.8692067736186667	0.9412525879916666
ASM#4	0.15568228047533328	4	NA	0.7657105727283332	0.6100282922529999
ASM#5	0.0005926248336799997	2	SE	0.998121749577	0.9987143744106667
ASM#6	0.12227879546933337	15	NA	0.6156862745096667	0.7115719406043333
ASM#7	0.14708994709	3	NA	0.7362433862433333	0.8833333333333333
ASM#8	0.014550149933666767	2	NA	0.906146648673	0.8915964987393332
ASM#9	0.011542424617333319	26	NA	0.7406533152033333	0.7481543446246667
ASM#10	0.03318388476633334	456	NA	0.567449152859	0.598642359231
ASM#11	0.014829913106666703	2	NA	0.6766917293233333	0.6618618162166666
ASM#12	0.09957010582	59	NA	0.22962962962966663	0.29315476190466666
ASM#13	0.0655257936508	20	NA	0.6084286944753333	0.5853187321936667
ASM#14	0.042495430603600004	23	NA	0.9401220279946667	0.8983859078006667
ASM#15	0.013350739598133338	3	NA	0.9644466287366668	0.9751118294313335
ASM#16	0.05948435788066653	3	NA	0.8518394399763333	0.7923550820956667
ASM#17	0.04780287626899998	67	NA	0.45240641711233337	0.4121430103570001
ASM#18	0.01777482898733332	11	NA	0.588813317214	0.582933645638
ASM#19	NA	31	NA	NA	NA
ASM#20	0.06642771804033343	6	NA	0.6335722819596666	0.7000000000000001
ASM#21	0.015602921021666716	12	NA	0.9662844550623334	0.9506815340406667
ASM#22	NA	3	NA	NA	NA
ASM#23	NA	6	NA	NA	NA
ASM#24	0.0359360956956668	54	NA	0.7197659453473334	0.6838298496516666
ASM#25	0.005313811274333169	2	SE	0.9887753388693333	0.9834615275950002
ASM#26	0.028310271437333334	4	NA	0.9563724734113332	0.9280622019739999
ASM#27	0.12196454721166666	5	NA	0.5955430759356667	0.6983596367546667
ASM#28	0.013910008262099996	2	NA	0.8958188958186666	0.8819088875566666
ASM#29	NA	2	NA	NA	NA
ASM#30	0.11174178684166663	3	NA	0.5298374777756667	0.621737994776
ASM#31	0.05095658651166668	41	NA	0.6642821742176666	0.7152387607293332
ASM#32	0.11885764996133333	9	NA	0.5685272663003333	0.5261437908496667
ASM#33	NA	2	NA	NA	NA
ASM#34	NA	2	NA	NA	NA
ASM#35	0.012593268758133332	14	NA	0.9368562396443334	0.9456084504736667
ASM#36	0.06475730388776667	101	NA	0.27050264550266667	0.210029905682
ASM#37	0.046848500862766665	28	NA	0.436850316601	0.4080161165093333
ASM#38	0.06822103364100002	2	SE	0.6273504273506667	0.6955714609916667
ASM#39	0.040829236352999954	5	NA	0.9495451591943334	0.9087159228413334
ASM#40	0.21761497675933328	24	NA	0.7823850232406667	1.0
ASM#41	0.038624338624666715	16	NA	0.7444444444443333	0.783068783069
ASM#42	NA	77	NA	NA	NA
ASM#43	NA	8	NA	NA	NA
ASM#44	NA	2	NA	NA	NA
ASM#45	0.03932893758713333	2	NA	0.901205133216	0.9405340708026667
ASM#46	0.0010683760683766667	3	NA	1.0	0.9989316239316667
ASM#47	0.020580238566333287	14	NA	0.5945483945483333	0.5951597516183333
ASM#48	NA	6	NA	NA	NA
ASM#49	0.02274513636266684	3	NA	0.9733584521680001	0.9506133158053333
ASM#50	NA	3	NA	NA	NA
ASM#51	NA	24	NA	NA	NA
ASM#52	NA	23	NA	NA	NA
ASM#53	0.07326472196133327	2	NA	0.8900148737523333	0.8167501517910001
