ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Turbo_Pmin_JC_c01	majiq_Postmax_p001	leafcutter_p_value	JumPmin	Type	TurboMajorPsiGroup1	TurboMajorPsiGroup2	TurboMajorPsiGroup1	TurboMajorPsiGroup2	FluxPsiG1	FluxPsiG2	majiqPsiG1	majiqPsiG2	logitRegP	TotalCountG1	TotalCountG2	ttestRegP
ASM0	4	26	37335	51783	0.620194083	0.010520817	1	0.621	0.376	0.415	NA	0.9745	0.977	0.9745	0.977	0.938724288	0.933457344	1	1	0.024227667	637	495.3333333	0.024227667
ASM1	8	19	5646	3168	0.001309188	0.026761717	0.474	0.981	0.0308	0.105	NA	0.762666667	0.771666667	0.762666667	0.771666667	0.383297491	0.363052954	0.997	0.996	0.03759431	70.66666667	139	0.03759431
ASM2	2	3	637	588	0.370168999	0.012390821	0.19	0.693	NA	NA	SE	0.957666667	0.888	0.957666667	0.888	0.957634167	0.945243346	0.909	0.938	0.48723452	37.66666667	49	0.48723452
ASM3	2	6	820	753	0.107581983	0.072045814	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.869206774	0.941252588	NA	NA	0.081773129	18.33333333	22.66666667	0.081773129
ASM4	4	6	2709	5569	0.00947536	0.15568228	0.0572	0.994	NA	0.05	NA	0.917333333	0.955	0.917333333	0.955	0.765710573	0.610028292	0.997	0.999	0.008615509	201.6666667	112.6666667	0.008615509
ASM5	2	3	12747	6599	0.813337826	0.000592625	1	0.61	NA	NA	SE	0.999333333	0.998333333	0.999333333	0.998333333	0.99812175	0.998714374	0.998	0.999	0.392879178	720	1526	0.392879178
ASM6	6	16	6139	3086	3.81E-05	0.122278795	NA	0.998	0.00103	0.0669	NA	NA	NA	NA	NA	0.615686275	0.711571941	0.919	0.755	0.014670001	62.66666667	93.66666667	0.014670001
ASM7	3	5	958	5806	0.603609858	0.147089947	1	0.614	NA	NA	NA	0.989	0.986666667	0.989	0.986666667	0.736243386	0.883333333	0.994	0.999	0.16932086	33.66666667	6	0.16932086
ASM8	2	4	604	3294	0.300235503	0.01455015	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.906146649	0.891596499	NA	NA	0.706123326	263	48.33333333	0.706123326
ASM9	3	16	93237	66222	0.751710841	0.011542425	0.82	0.671	0.106	0.212	NA	0.977111111	0.989	0.977111111	0.989	0.740653315	0.748154345	1	1	0.719994607	453.6666667	644.6666667	0.719994607
ASM10	6	23	13058	12410	0.657845158	0.033183885	2.31E-07	0.964	0.00104	1.74E-07	NA	0.926527778	0.93925	0.926527778	0.93925	0.567449153	0.598642359	0.996	1	0.003298227	709.6666667	766.3333333	0.003298227
ASM11	2	4	367	153	0.327777995	0.014829913	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.676691729	0.661861816	NA	NA	0.622639787	17.33333333	49.33333333	0.622639787
ASM12	6	28	2089	731	0.042108119	0.099570106	0.382	NA	NA	0.0716	NA	0.679333333	0.631666667	0.679333333	0.631666667	0.22962963	0.293154762	NA	NA	0.101777814	10.33333333	30.33333333	0.101777814
ASM13	2	41	22324	13552	0.515559936	0.065525794	0.00143	0.961	0.024	0.00921	NA	0.921222222	0.867	0.921222222	0.867	0.608428694	0.585318732	0.999	0.999	0.14915517	38.66666667	86	0.14915517
ASM14	4	15	8400	11212	0.441576248	0.042495431	0.291	0.815	0.225	0.191	NA	0.943	0.9265	0.943	0.9265	0.940122028	0.898385908	0.999	0.999	0.005369704	261.3333333	216.3333333	0.005369704
ASM15	3	4	10388	9525	0.312272186	0.01335074	1	0.61	NA	0.538	NA	1	0.998	1	0.998	0.964446629	0.975111829	0.997	0.999	0.044374933	402.6666667	496	0.044374933
ASM16	3	15	72013	87943	0.205281805	0.059484358	0.0359	0.802	0.00493	0.00369	NA	0.935333333	0.905666667	0.935333333	0.905666667	0.85183944	0.792355082	0.985	0.989	9.75E-05	1077	962	9.75E-05
ASM17	6	22	3168	3659	0.939134059	0.047802876	0.819	0.711	0.576	0.00223	NA	0.810333333	0.832333333	0.810333333	0.832333333	0.452406417	0.41214301	0.99	0.993	0.195305169	46.33333333	44.66666667	0.195305169
ASM18	4	9	37900	52077	0.764269729	0.017774829	NA	0.788	0.484	0.0119	NA	NA	NA	NA	NA	0.588813317	0.582933646	0.999	0.999	0.054606852	1033	796.3333333	0.054606852
ASM19	2	33	36482	18948	1	NA	0.0242	0.836	0.263	5.62E-05	NA	0.7492	0.792933333	0.7492	0.792933333	NA	NA	0.995	0.991	NA	2.333333333	5.333333333	NA
ASM20	6	7	3559	3319	0.046070615	0.066427718	NA	0.996	NA	0.00118	NA	NA	NA	NA	NA	0.633572282	0.7	0.998	0.998	0.251652374	26	44.33333333	0.251652374
ASM21	2	10	18974	24788	1	0.015602921	NA	0.61	0.921	0.775	NA	NA	NA	NA	NA	0.966284455	0.950681534	0.996	0.999	0.011686068	1450	1189.333333	0.011686068
ASM22	3	5	2	166	0.016405297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.666666667	0	NA
