ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsiDiff	turbo_p_value	majiq_p_value	leafcutter_p_value	jum_p_value
ASM0	2	4	47	2	0.154174691	0.833333333	NA	NA	NA	NA
ASM1	6	25	37737	52245	0.37760924	0.007281145	0.058	NA	0.376	0.0369
ASM2	5	19	5646	3168	NA	0.031554638	0.551	0.66	0.0308	0.0387
ASM3	2	3	637	588	0.370168999	0.012390821	0.0854	NA	NA	NA
ASM4	2	6	820	753	0.107581983	0.072045814	NA	NA	NA	NA
ASM5	4	6	2709	5569	0.00947536	0.15568228	0.0167	NA	NA	0.109
ASM6	2	3	12747	6599	0.813337826	0.000592625	1	NA	NA	NA
ASM7	6	16	6139	3086	NA	0.028006468	NA	NA	0.00103	0.0613
ASM8	3	5	958	5806	0.603609858	0.147089947	1	NA	NA	NA
ASM9	2	4	604	3294	0.300235503	0.01455015	NA	NA	NA	NA
ASM10	9	16	95397	67632	1	0.001245657	0.193	NA	0.106	0.0173
ASM11	2	4	30	53	0.711445225	0.25	NA	NA	NA	NA
ASM12	7	23	13905	13795	0.144292372	0.05362254	3.55E-15	NA	0.00104	0.0394
ASM13	2	4	367	153	0.327777995	0.014829913	NA	NA	NA	NA
ASM14	10	28	2114	736	NA	0	0.685	NA	NA	0.0976
ASM15	7	41	23865	14177	0.000324007	0.06445488	0.000281	NA	0.024	0.0234
ASM16	6	15	8591	11414	0.253078174	0	0.0804	NA	0.225	0.0508
ASM17	3	4	10388	9525	0.312272186	0.01335074	1	NA	NA	0.0611
ASM18	3	15	72013	87943	0.370752696	0.059484358	1.46E-05	NA	0.00493	0.0192
ASM19	9	22	3269	3778	0.187336716	0.027373288	0.946	NA	0.576	0.0439
ASM20	6	9	38590	53063	0.136086422	0.017774829	NA	NA	0.484	0.0162
ASM21	4	33	36919	19249	0.984744366	0.303968254	3.69E-06	NA	0.263	0.0216
ASM22	6	7	3559	3319	0.046070615	0.066427718	NA	NA	NA	0.0336
ASM23	9	10	19650	25532	0.996478544	0.015602921	NA	NA	0.921	0.0221
