ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Turbo_Pmin_JC_c01	majiq_Postmax_p01	leafcutter_p_value	jum_p_value	Type	IsoMajorPsiGroup1	IsoMajorPsiGroup2	TurboMajorPsiGroup1	TurboMajorPsiGroup2	FluxPsiG1	FluxPsiG2	majiqPsiG1	majiqPsiG2	RegP	TotalCountG1	TotalCountG2
ASM0	2	4	47	2	0.154174691	NA	NA	NA	NA	NA	ASS	0.396828818	0.68005526	NA	NA	NA	NA	NA	NA	NA	0.333333333	1.333333333
ASM1	6	25	37737	52245	0.37760924	0.007281145	1	2.00E-12	0.376	0.0369	NA	0.802706597	0.830977614	0.977	0.9745	0.609722222	0.617003367	1	1	0.979572309	9.333333333	16
ASM2	5	19	5646	3168	NA	0.031554638	0.474	0.869	0.0308	0.0387	NA	NA	NA	0.771666667	0.762666667	0.428842685	0.453529001	0.997	0.996	0.414696902	59.66666667	117.3333333
ASM3	2	3	637	588	0.370168999	NA	0.19	0.0115	NA	NA	SE	0.890397546	0.945861034	0.888	0.957666667	NA	NA	0.909	0.938	0.709528032	37.66666667	49
ASM4	2	6	820	753	0.107581983	0.072045814	NA	NA	NA	NA	NA	0.93812664	0.879194643	NA	NA	0.941252588	0.869206774	NA	NA	0.195960297	18.33333333	22.66666667
ASM5	4	6	2709	5569	0.00947536	0.15568228	0.0572	0.783	NA	0.109	NA	0.53183045	0.43903846	0.955	0.917333333	0.610028292	0.765710573	0.997	0.999	5.45E-07	201.6666667	112.6666667
ASM6	2	3	12747	6599	0.813337826	0.000592625	1	1.60E-18	NA	NA	SE	0.99586616	0.997596395	0.998333333	0.999333333	0.998714374	0.99812175	0.998	0.999	0.592000042	720	1526
ASM7	6	16	6139	3086	NA	0.028006468	NA	0.855	0.00103	0.0613	NA	NA	NA	NA	NA	0.930119826	0.958126294	0.919	0.755	0.295465102	40.33333333	71.66666667
ASM8	3	5	958	5806	0.603609858	0.147089947	1	2.27E-05	NA	NA	NA	0.685047694	0.639017385	0.986666667	0.989	0.883333333	0.736243386	0.994	0.999	0.171270987	33.66666667	6
ASM9	2	4	604	3294	0.300235503	0.01455015	NA	NA	NA	NA	NA	0.854790054	0.858417686	NA	NA	0.891596499	0.906146649	NA	NA	0.53512265	263	48.33333333
ASM10	9	16	95397	67632	1	0.001245657	0.82	0.000277	0.106	0.0173	NA	0.850518448	0.835942911	0.989	0.977111111	0.995895086	0.997140743	1	1	0.63864183	337.3333333	484.3333333
