IDOld	IDNew	total_exons	total_isoforms	strand	chr	name	gene	ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Type	IsoPsi2	IsoPsi1	FluxPsiG1	FluxPsiG2	ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Turbo_Pmin_JC_c01	majiq_Postmax_p001	leafcutter_p_value	JumPmin	Type	IsoMajorPsiGroup1	IsoMajorPsiGroup2	TurboMajorPsiGroup1	TurboMajorPsiGroup2	FluxPsiG1	FluxPsiG2	majiqPsiG1	majiqPsiG2	logitRegP	TotalCountG1	TotalCountG2	ttestRegP
ASM223	ASM222	32	12	-	chr1	AIM1L	ENSG00000176092	ASM222	5	32	46	4196	0	0.917126824	NA	0.319051464	0.876066272	0.082873176	1	ASM223	9	32	46	4207	NA	0.8647768	NA	NA	NA	0.64	NA	NA	NA	NA	NA	1	0.1352232	NA	NA	0.999999177	32.33333333	1	0.001237245
ASM811	ASM814	8	10	-	chr1	S100A4	ENSG00000196154	ASM814	10	8	29673	7472	0	NA	NA	0.305661952	0.740186925	NA	NA	ASM811	9	8	29673	7472	0	NA	2.61E-06	1	1.24E-10	1.53E-30	NA	0.288349892	0.439485119	0.94	0.9845	NA	NA	0.992	0.989	NA	2.666666667	4.666666667	NA
ASM813	ASM816	8	10	-	chr1	S100A2	ENSG00000196754	ASM816	10	8	16491	27654	0	0.110234262	NA	0.516730972	0.564065685	0.7336617	0.747164996	ASM813	8	8	16491	27654	0	0.110234262	0	1	3.15E-08	7.97E-10	NA	0.54041147	0.361556175	0.936	0.821	0.747164996	0.7336617	0.942	0.823	3.83E-44	2119.666667	1245.333333	0.000131972
ASM1436	ASM1436	25	287	-	chr2	FEZ2	ENSG00000171055	ASM1436	6	25	31042	10309	0	0.07187675	NA	0.898477358	0.448431202	0.881023164	0.952165699	ASM1436	19	25	32278	10468	0	NA	0	1	1.03E-23	3.10E-40	NA	0.153329426	0.812492221	0.833533333	0.964866667	NA	NA	0.999	0.999	NA	0	0	NA
ASM1983	ASM1987	27	71	+	chr2	BZW1	ENSG00000082153	ASM1987	5	27	102688	72341	0	0.330431584	NA	0.44857301	0.466967374	0.829009972	0.498578388	ASM1983	17	27	103157	72747	0.313673776	NA	0.0471	1	1.20E-13	1.93E-09	NA	0.314917235	0.325060012	0.992666667	0.981833333	NA	NA	1	1	NA	1	4.333333333	NA
ASM2337	ASM2324	24	355	-	chr3	SHISA5	ENSG00000164054	ASM2324	7	24	52786	33795	0	0.417417417	NA	0.595177131	0.582066295	0.333333333	0.722972973	ASM2337	20	24	53269	34438	1.11E-16	NA	0.000288	1	3.08E-11	2.10E-10	NA	0.443465309	0.366611812	0.874761905	0.863095238	NA	NA	0.997	1	NA	0.666666667	2.666666667	NA
ASM3013	ASM2990	43	24	+	chr4	FIP1L1	ENSG00000145216	ASM2990	6	43	15699	16985	0	0.15910785	NA	0.457602578	0.438891115	0.538122313	0.631889122	ASM3013	20	43	16054	17341	0	0.157825151	0.0263	0.871	0.000177	0.0107	NA	0.293516348	0.323780857	0.7012	0.715733333	0.745047373	0.587222222	0.999	0.999	0.006146693	46	41.33333333	0.21688792
ASM4579	ASM4553	19	17	-	chr7	HNRNPA2B1	ENSG00000122566	ASM4553	5	19	279372	337695	0	0.112269446	NA	0.962192876	0.958562143	0.843171285	0.73090184	ASM4579	6	19	282500	341596	0	NA	1	0.876	0.62	0.015	NA	0.664391468	0.657091383	0.931	0.927666667	NA	NA	0.999	1	0.999996286	60.66666667	105.6666667	1
ASM5062	ASM5029	27	35	-	chr7	EPHA1	ENSG00000146904	ASM5029	5	27	21	14052	0	0.912676235	NA	0.013207531	0.990945251	0.087323765	1	ASM5062	9	27	21	14169	0	0.905945419	NA	NA	NA	NA	NA	0.981336976	0.074476586	NA	NA	1	0.094054581	NA	NA	0.999999055	159.6666667	1.333333333	4.89E-05
ASM5379	ASM5329	27	64	-	chr8	CALB1	ENSG00000104327	ASM5329	6	27	6746	50146	0	0.306359962	NA	0.458805042	0.819432653	0.326623387	0.632983349	ASM5379	16	27	6801	50931	0	0.241931814	0	1	1.10E-11	1.61E-13	NA	0.524112477	0.209524679	0.590833333	0.657	0.692148591	0.450216777	0.999	1	3.17E-61	2220	506.3333333	0.000386786
ASM6787	ASM6716	29	67	-	chr11	FOLH1	ENSG00000086205	ASM6716	12	29	31	5177	0	0.694857839	NA	0.000471538	0.900031662	0.694857839	0	ASM6787	10	29	31	5213	0	NA	NA	NA	NA	0.174	NA	0.749604233	0.028434026	NA	NA	NA	NA	NA	NA	0.99999629	67	0	1
ASM7533	ASM7462	14	31	+	chr12	HMGA2	ENSG00000149948	ASM7462	8	14	7710	7817	0	0.155963798	NA	0.8246575	0.866689551	0.373408714	0.529372511	ASM7533	12	14	7719	7864	0	0.161480855	0.0629	1	1.85E-06	6.74E-05	NA	0.673785714	0.443095454	0.703	0.765333333	0.545920133	0.384439278	0.992	0.986	2.96E-13	308.6666667	384	0.000184393
ASM8411	ASM8347	32	16	+	chr14	INF2	ENSG00000203485	ASM8347	4	32	66503	39419	0	0.115775287	NA	0.267006017	0.532423749	0.817260406	0.933035693	ASM8411	12	32	66397	39330	0	0.242205885	1.06E-05	0.999	0.0121	0.000613	NA	0.543505684	0.280583882	0.800222222	0.856111111	0.796329094	0.554123209	0.993	0.999	3.61E-34	231	681.3333333	2.79E-05
ASM9138	ASM9047	9	9	+	chr16	HAS3	ENSG00000103044	ASM9047	9	9	67911	14264	0	0.065406892	NA	0.491549326	0.843406387	0.906591852	0.84118496	ASM9138	9	9	67911	14264	0	0.065406892	NA	0.985	0.00168	1.22E-10	NA	0.777544373	0.35925078	NA	NA	0.84118496	0.906591852	0.972	0.979	0.005779319	96.33333333	433.6666667	0.049012122
ASM10039	ASM9947	49	10	-	chr18	MYO5B	ENSG00000167306	ASM9947	10	49	1785	9955	0	0.767681093	NA	0.416614939	0.966741972	0.199909622	0.967590714	ASM10039	8	49	1785	9955	0	0.767681093	NA	NA	NA	0.00808	NA	0.928821655	0.215169609	NA	NA	0.967590714	0.199909622	NA	NA	7.66E-15	61.33333333	31	0.000814041
ASM10672	ASM10583	18	45	+	chr19	CALM3	ENSG00000160014	ASM10583	6	18	15358	17713	0	0.058131839	NA	0.721021861	0.711046386	0.542017931	0.557077076	ASM10672	13	18	15425	17779	0	NA	0	1	0.000613	2.02E-11	NA	0.628944843	0.541411215	0.995	0.972666667	NA	NA	1	0.998	0.999995111	8.333333333	13.33333333	1
ASM10687	ASM10598	10	8	+	chr19	EHD2	ENSG00000024422	ASM10598	8	10	24638	12	0	0.820084373	NA	NA	NA	0	0.820084373	ASM10687	5	10	24638	12	0	0.820084373	NA	NA	NA	0.182	NA	0.001057465	0.996978585	NA	NA	0.820084373	0	NA	NA	0.998594639	0.666666667	639	9.45E-05
ASM10804	ASM10713	30	156	-	chr19	TMC4	ENSG00000167608	ASM10713	6	30	763	6811	0	0.349515834	NA	0.064732722	0.765720455	0.198494089	0.406204906	ASM10804	14	30	774	6921	0	0.471805972	0	1	NA	1.43E-10	NA	0.503938362	0.101391413	1	0.687666667	0.406204906	0.323491323	0.985	0.374	5.14E-05	97	21.33333333	0.002225687
ASM11550	ASM11456	35	24	-	chr22	CSNK1E	ENSG00000213923	ASM11456	8	35	30704	22954	0	0.088672209	NA	0.325535882	0.337379032	0.969946312	0.881274102	ASM11550	17	35	31384	23228	0	0.088672209	0	1	2.29E-10	5.73E-09	NA	0.192607132	0.221559584	0.903333333	0.531666667	0.881274102	0.969946312	0.99	0.992	2.69E-05	112	158	0.005027175
ASM8847	ASM8764	18	34	+	chr16	SLC9A3R2	ENSG00000065054	ASM8764	6	18	78094	15771	1.11E-16	0.455493799	NA	0.507578307	0.621056174	0.643161612	0.187667814	ASM8847	11	18	78778	15799	0	0.014483857	NA	1	8.90E-08	1.79E-15	NA	0.453281361	0.471258677	NA	NA	0.985516143	1	0.993	0.998	0.980322581	34.66666667	160.6666667	0.11447966
ASM893	ASM893	31	9	+	chr1	PEAR1	ENSG00000187800	ASM893	9	31	12501	2528	1.78E-15	0.462105679	NA	0.841872188	0.442320788	0.274891775	0.602405361	ASM893	7	31	12501	2528	4.66E-11	NA	0.00287	1	NA	0.0016	NA	0.413098492	0.480738453	0.780666667	0.777166667	NA	NA	0.773	0.273	NA	4.666666667	7.666666667	NA
ASM507	ASM510	7	5	+	chr1	AK4	ENSG00000162433	ASM510	5	7	10	2999	1.50E-14	0.58192796	NA	NA	NA	0.454389312	0.333333333	ASM507	5	7	10	2999	1.50E-14	0.58192796	NA	NA	NA	0.429	NA	0.200843491	0.696231122	NA	NA	0.333333333	0.454389312	NA	NA	0.01241672	374	1	0.222958152
ASM10721	ASM10629	13	19	+	chr19	RPS11	ENSG00000142534	ASM10629	5	13	128570	214355	4.01E-14	0.026432337	NA	0.8339781	0.776412712	0.958427323	0.931994986	ASM10721	8	13	129868	216580	1	0.165628736	NA	1	0.267	0.118	NA	0.872677777	0.880635116	NA	NA	0.67027169	0.504642954	0.99	0.992	2.02E-08	214.6666667	174.6666667	0.099907795
ASM478	ASM480	23	27	+	chr1	ACOT11	ENSG00000162390	ASM480	5	23	536	5113	2.56E-13	NA	NA	0.74318394	0.000553463	NA	NA	ASM478	7	23	556	5186	0	NA	0.00188	NA	NA	NA	NA	0.007212555	0.887096292	0.666666667	0.933	NA	NA	NA	NA	NA	2	0	NA
ASM2427	ASM2413	34	27	-	chr3	TKT	ENSG00000163931	ASM2413	5	34	88582	165293	7.21E-13	0.349596035	NA	0.417849952	0.425347849	0.527777778	0.839892554	ASM2427	18	34	89378	167336	8.92E-06	NA	0.255	0.985	0.327	7.93E-07	NA	0.653004016	0.627044347	0.857380952	0.84552381	NA	NA	1	1	0.002474906	4.666666667	20	0.094115828
ASM12020	ASM11928	22	5	-	chrX	SMARCA1	ENSG00000102038	ASM11928	5	22	54304	39184	9.91E-13	0.32129047	NA	0.521759135	0.148333747	0.720030916	0.398740446	ASM12020	4	22	54304	39184	0	0	0	1	1.26E-09	1.45E-19	NA	0.479733543	0.207952805	0.620833333	0.668333333	1	1	0.588	0.725	0.999995871	266.6666667	148.3333333	NA
ASM5190	ASM5146	22	101	+	chr8	PDLIM2	ENSG00000120913	ASM5146	5	22	3026	10054	1.66E-12	0.642857143	NA	0.952251671	0.725915857	0.976190476	0.333333333	ASM5190	15	22	3046	10223	0	NA	0	1	5.13E-07	1.38E-13	NA	0.39453207	0.408926794	0.810888889	0.913555556	NA	NA	0.996	0.999	NA	0.666666667	0	NA
ASM4590	ASM4564	7	5	-	chr7	HOXA9	ENSG00000078399	ASM4564	5	7	2327	8059	3.08E-12	0.044811147	NA	0.533607922	0.717054828	0.336754005	0.298800519	ASM4590	5	7	2327	8059	3.08E-12	0.044811147	NA	0.719	0.876	0.0164	NA	0.570337878	0.470630462	NA	NA	0.298800519	0.336754005	0.988	0.95	0.023267677	379	165.3333333	0.07194809
ASM4279	ASM4257	17	9	-	chr6	MAP3K7	ENSG00000135341	ASM4257	9	17	3954	3235	1.38E-11	0.578693667	NA	0.262652845	0.855653867	0.223562631	0.802256299	ASM4279	4	17	3954	3235	0.183059625	NA	0	1	2.50E-06	2.87E-11	NA	0.893050989	0.853175596	0.837	0.785333333	NA	NA	0.993	0.998	0.000157078	23.33333333	92.33333333	0.011361889
ASM9908	ASM9818	11	30	-	chr17	STRA13	ENSG00000169689	ASM9818	8	11	8714	12769	1.76E-11	NA	NA	0.648852607	0.850802927	NA	NA	ASM9908	9	11	8741	12793	0.25159901	NA	0	1	4.32E-08	3.69E-10	NA	0.901881061	0.857472608	0.897666667	0.803	NA	NA	0.955	0.957	NA	0	0	NA
ASM4053	ASM4030	31	18	-	chr6	RGL2	ENSG00000237441	ASM4030	4	31	16833	9548	5.59E-11	NA	NA	0.550054182	0.561725997	NA	NA	ASM4053	14	31	17121	9586	1.11E-16	0.410638776	1.31E-09	1	0.00153	9.47E-11	NA	0.386710306	0.381018718	0.856111111	0.793222222	0.442300195	0.40042735	0.999	0.999	2.45E-05	11.66666667	25.33333333	0.0993379
ASM6133	ASM6065	21	8	+	chr10	HSPA14	ENSG00000187522	ASM6065	8	21	4862	8470	6.31E-11	0.201424437	NA	0.673254556	0.478261359	0.635004603	0.433580166	ASM6133	6	21	4862	8470	5.40E-09	0.075538427	NA	1	0.0751	0.0533	NA	0.357965714	0.469755904	NA	NA	0.503802077	0.562228989	0.97	0.982	0.117367566	67	68.66666667	0.030925401
ASM5443	ASM5390	21	39	+	chr8	ZFPM2	ENSG00000169946	ASM5390	5	21	7591	55	8.86E-11	0.923679194	NA	0.988093822	0.032942132	1	0.076320806	ASM5443	13	21	7633	55	8.61E-11	NA	NA	NA	NA	0.0131	NA	0.774332766	0.000472123	NA	NA	NA	NA	NA	NA	0.057356301	0	51	1
